date,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax
2022-11-23T00:00:00.000,801900,8795600,15462735,25100
2022-11-23T00:00:00.000,190100,2247000,3332745,5600
2022-11-23T00:00:00.000,151900,1746580,3216560,5300
2022-11-23T00:00:00.000,90600,1282000,1938325,3800
2022-11-23T00:00:00.000,626900,4683480,4189140,8700
2022-11-23T00:00:00.000,630400,8395280,12977590,10100
2022-11-23T00:00:00.000,2661300,26975740,46033635,86900
2022-11-23T00:00:00.000,31401900,335687270,550600725,963800
2022-11-23T00:00:00.000,402100,5045460,6252280,21000
2022-11-23T00:00:00.000,329500,3977680,5503070,7700
2022-11-23T00:00:00.000,233500,2698560,3901605,5900
2022-11-23T00:00:00.000,775300,8381600,14273795,27800
2022-11-23T00:00:00.000,1951500,20022280,35437765,26000
2022-11-23T00:00:00.000,12800,124140,129960,0
2022-11-23T00:00:00.000,464300,5432040,7335535,42500
2022-11-23T00:00:00.000,352600,4345480,6498295,7900
2022-11-23T00:00:00.000,216300,2961020,5236080,1500
2022-11-23T00:00:00.000,1181300,12248940,22255535,23400
2022-11-23T00:00:00.000,3700,28320,108560,200
2022-11-23T00:00:00.000,456300,5655100,9225445,18400
2022-11-23T00:00:00.000,260000,2452300,4567760,4900
2022-11-23T00:00:00.000,16200,175620,208710,0
2022-11-23T00:00:00.000,629200,5998600,10827580,7200
2022-11-23T00:00:00.000,74000,889320,1422170,1800
2022-11-23T00:00:00.000,510100,5825520,10653740,12100
2022-11-23T00:00:00.000,124800,1665120,2566860,3500
2022-11-23T00:00:00.000,86200,755420,1166345,4600
2022-11-23T00:00:00.000,49200,516740,650345,2400
2022-11-23T00:00:00.000,1008400,10687040,17713015,22400
2022-11-23T00:00:00.000,500400,5806740,10094135,20100
2022-11-23T00:00:00.000,106400,1016800,1425095,5800
2022-11-23T00:00:00.000,111300,1587580,2079415,7200
2022-11-23T00:00:00.000,963500,10766520,15753940,22400
2022-11-23T00:00:00.000,466000,4738260,7911175,18400
2022-11-23T00:00:00.000,1008500,9807840,16767975,31500
2022-11-23T00:00:00.000,160000,1713880,2542910,14700
2022-11-23T00:00:00.000,2457400,21262220,34242965,44800
2022-11-23T00:00:00.000,260800,2911940,4556675,18400
2022-11-23T00:00:00.000,158200,1748030,2685880,5600
2022-11-23T00:00:00.000,210700,2410340,4863470,30400
2022-11-23T00:00:00.000,53600,633620,1090330,2100
2022-11-23T00:00:00.000,600,25500,101010,0
2022-11-23T00:00:00.000,3800,31200,15390,0
2022-11-23T00:00:00.000,93500,936800,1454965,3200
2022-11-23T00:00:00.000,338200,3767280,4987330,22000
2022-11-23T00:00:00.000,615100,7016060,13154810,25300
2022-11-23T00:00:00.000,256000,2546360,5085840,6300
2022-11-23T00:00:00.000,392500,4556500,6378475,10200
2022-11-23T00:00:00.000,439100,5532660,8733645,13300
2022-11-23T00:00:00.000,188500,1542040,3003360,3900
2022-11-23T00:00:00.000,3775400,40371680,68760855,121900
2022-11-23T00:00:00.000,3200,45940,117420,200
2022-11-23T00:00:00.000,171000,2070520,2915025,7600
2022-11-23T00:00:00.000,618000,6939120,11015100,14600
2022-11-23T00:00:00.000,101600,1170900,1806455,3800
2022-11-23T00:00:00.000,12800,73000,63980,1100
2022-11-23T00:00:00.000,952200,10507580,16785040,34300
2022-11-23T00:00:00.000,1561900,14840220,23091465,43800
2022-11-23T00:00:00.000,529500,6042480,9605190,13800
2022-11-23T00:00:00.000,24400,103580,239130,400
2022-11-23T00:00:00.000,861400,10251200,15846155,33300
2022-11-23T00:00:00.000,292700,3273620,5111035,16200
2022-11-23T00:00:00.000,72700,880880,1582125,2500
2022-11-23T00:00:00.000,263100,3247120,4334010,24100
2022-11-16T00:00:00.000,158200,1733180,2653830,5600
2022-11-16T00:00:00.000,49200,513740,639545,2400
2022-11-16T00:00:00.000,2456500,21146820,33971765,43900
2022-11-16T00:00:00.000,124800,1657420,2547760,3300
2022-11-16T00:00:00.000,2661100,26812140,45733485,86500
2022-11-16T00:00:00.000,73800,883820,1404770,1800
2022-11-16T00:00:00.000,16200,175420,207210,0
2022-11-16T00:00:00.000,329400,3961980,5466570,7700
2022-11-16T00:00:00.000,626900,4657180,4188840,8700
2022-11-16T00:00:00.000,188500,1532740,2972860,3800
2022-11-16T00:00:00.000,292700,3263420,5084435,16200
2022-11-16T00:00:00.000,160000,1700980,2519110,14300
2022-11-16T00:00:00.000,860800,10178500,15683655,33100
2022-11-16T00:00:00.000,1008300,9742240,16634375,31100
2022-11-16T00:00:00.000,90600,1267700,1919325,3700
2022-11-16T00:00:00.000,630200,8295280,12811390,9700
2022-11-16T00:00:00.000,529300,6003680,9484290,13500
2022-11-16T00:00:00.000,510100,5782820,10532840,11600
2022-11-16T00:00:00.000,1008200,10622240,17553615,22200
2022-11-16T00:00:00.000,352500,4313980,6433045,7800
2022-11-16T00:00:00.000,3775100,40002180,68137405,120800
2022-11-16T00:00:00.000,216300,2948320,5209530,1500
2022-11-16T00:00:00.000,210700,2406940,4834670,30100
2022-11-16T00:00:00.000,775200,8323500,14139095,26600
2022-11-16T00:00:00.000,500400,5748140,9971435,19900
2022-11-16T00:00:00.000,111300,1577280,2058315,7000
2022-11-16T00:00:00.000,456200,5619600,9137045,18300
2022-11-16T00:00:00.000,233500,2684960,3859455,5900
2022-11-16T00:00:00.000,952000,10452180,16624540,34200
2022-11-16T00:00:00.000,1950800,19905580,35075615,25000
2022-11-16T00:00:00.000,615100,6970560,13027510,25200
2022-11-16T00:00:00.000,263000,3230520,4296460,24100
2022-11-16T00:00:00.000,1561800,14753920,22869865,43500
2022-11-16T00:00:00.000,12800,73000,59980,1100
2022-11-16T00:00:00.000,801400,8727600,15298785,23900
2022-11-16T00:00:00.000,338100,3738480,4937680,20000
2022-11-16T00:00:00.000,466000,4707560,7803725,17800
2022-11-16T00:00:00.000,93400,928500,1439565,2900
2022-11-16T00:00:00.000,53600,632620,1078580,2100
2022-11-16T00:00:00.000,86200,752920,1154945,4500
2022-11-16T00:00:00.000,171000,2056020,2890925,7500
2022-11-16T00:00:00.000,617700,6891720,10911400,14400
2022-11-16T00:00:00.000,101600,1163700,1790455,3800
2022-11-16T00:00:00.000,260800,2902540,4518075,18400
2022-11-16T00:00:00.000,260000,2438100,4531010,4700
2022-11-16T00:00:00.000,151900,1734380,3190660,5300
2022-11-16T00:00:00.000,600,25500,101010,0
2022-11-16T00:00:00.000,12800,123140,128960,0
2022-11-16T00:00:00.000,255900,2535260,5022390,6200
2022-11-16T00:00:00.000,439100,5493160,8641945,13000
2022-11-16T00:00:00.000,629100,5961100,10697480,7200
2022-11-16T00:00:00.000,402000,5023860,6205680,20900
2022-11-16T00:00:00.000,1181100,12168840,22033535,23300
2022-11-16T00:00:00.000,24400,99880,234480,400
2022-11-16T00:00:00.000,392500,4526600,6313575,10200
2022-11-16T00:00:00.000,106300,1010000,1408595,5800
2022-11-16T00:00:00.000,963400,10704320,15642290,21900
2022-11-16T00:00:00.000,3800,30800,15390,0
2022-11-16T00:00:00.000,3100,45940,117020,200
2022-11-16T00:00:00.000,3700,28320,108510,200
2022-11-16T00:00:00.000,190100,2227900,3300145,5400
2022-11-16T00:00:00.000,464300,5399940,7244335,42500
2022-11-16T00:00:00.000,72700,874080,1569025,2400
2022-11-16T00:00:00.000,31395600,333432620,545438475,949400
2022-11-09T00:00:00.000,101600,1157700,1775455,3800
2022-11-09T00:00:00.000,1008100,10558340,17397015,21900
2022-11-09T00:00:00.000,401900,4995360,6163980,20800
2022-11-09T00:00:00.000,3774600,39787580,67699505,118200
2022-11-09T00:00:00.000,190100,2210700,3280045,5400
2022-11-09T00:00:00.000,210700,2403440,4819470,29800
2022-11-09T00:00:00.000,292700,3217220,4990435,15200
2022-11-09T00:00:00.000,72700,869080,1548925,2400
2022-11-09T00:00:00.000,3100,45740,117020,200
2022-11-09T00:00:00.000,1008000,9679540,16499075,29800
2022-11-09T00:00:00.000,614800,6918960,12929210,24400
2022-11-09T00:00:00.000,510000,5757520,10425740,11500
2022-11-09T00:00:00.000,53600,630420,1067580,2100
2022-11-09T00:00:00.000,151900,1725980,3164060,5200
2022-11-09T00:00:00.000,465800,4676960,7720725,17400
2022-11-09T00:00:00.000,255700,2526860,4982390,5900
2022-11-09T00:00:00.000,775100,8270500,14009795,26100
2022-11-09T00:00:00.000,329400,3942480,5433070,7600
2022-11-09T00:00:00.000,464300,5372540,7187735,42500
2022-11-09T00:00:00.000,1180700,12084940,21853535,22800
2022-11-09T00:00:00.000,86100,748320,1142045,4500
2022-11-09T00:00:00.000,617500,6853420,10840900,13800
2022-11-09T00:00:00.000,800500,8671200,15195885,23100
2022-11-09T00:00:00.000,31384500,331456120,541270615,932500
2022-11-09T00:00:00.000,158200,1719620,2630730,5600
2022-11-09T00:00:00.000,2455500,21037620,33822465,42800
2022-11-09T00:00:00.000,24400,99880,234480,400
2022-11-09T00:00:00.000,160000,1685580,2503710,14300
2022-11-09T00:00:00.000,438900,5460560,8570845,12900
2022-11-09T00:00:00.000,456200,5583200,9035645,18200
2022-11-09T00:00:00.000,1949500,19772180,34773615,24600
