date,company,likecount,retweetcount
2022-11-23,Pfizer,34,7
2022-11-22,Pfizer,21,7
2022-11-22,Pfizer,43,18
2022-11-22,Pfizer,17,3
2022-11-22,Pfizer,13,4
2022-11-21,Pfizer,16,2
2022-11-18,Pfizer,18,4
2022-11-18,Pfizer,27,6
2022-11-17,Pfizer,17,4
2022-11-16,Pfizer,18,2
2022-11-16,Pfizer,68,14
2022-11-15,Pfizer,17,5
2022-11-14,Pfizer,22,6
2022-11-13,Pfizer,29,9
2022-11-12,Pfizer,187,116
2022-11-11,Pfizer,10,3
2022-11-11,Pfizer,12,4
2022-11-11,Pfizer,6,2
2022-11-11,Pfizer,26,5
2022-11-11,Pfizer,35,2
2022-11-10,Pfizer,16,3
2022-11-10,Pfizer,20,6
2022-11-10,Pfizer,22,7
2022-11-09,Pfizer,16,2
2022-11-09,Pfizer,22,5
2022-11-09,Pfizer,17,3
2022-11-09,Pfizer,18,4
2022-11-08,Pfizer,37,7
2022-11-07,Pfizer,27,13
2022-11-04,Pfizer,20,11
2022-11-04,Pfizer,58,22
2022-11-03,Pfizer,19,4
2022-11-03,Pfizer,168,74
2022-11-01,Pfizer,25,5
2022-11-01,Pfizer,9,4
2022-11-01,Pfizer,24,9
2022-10-29,Pfizer,28,11
2022-10-28,Pfizer,29,7
2022-10-27,Pfizer,14,2
2022-10-27,Pfizer,7,2
2022-10-27,Pfizer,10,3
2022-10-26,Pfizer,18,6
2022-10-26,Pfizer,17,7
2022-10-26,Pfizer,10,2
2022-10-26,Pfizer,10,3
2022-10-26,Pfizer,14,4
2022-10-24,Pfizer,8,5
2022-10-24,Pfizer,12,3
2022-10-24,Pfizer,10,4
2022-10-21,Pfizer,19,6
2022-10-21,Pfizer,21,8
2022-10-19,Pfizer,25,2
2022-10-18,Pfizer,32,5
2022-10-17,Pfizer,18,3
2022-10-17,Pfizer,23,11
2022-10-17,Pfizer,14,2
2022-10-17,Pfizer,31,9
2022-10-14,Pfizer,20,6
2022-10-14,Pfizer,26,6
2022-10-14,Pfizer,10,1
2022-10-13,Pfizer,18,1
2022-10-13,Pfizer,10,2
2022-10-13,Pfizer,14,1
