date,company,likecount,retweetcount
1669225391000,Pfizer,34,7
1669145804000,Pfizer,21,7
1669139123000,Pfizer,43,18
1669136423000,Pfizer,17,3
1669132817000,Pfizer,13,4
1669039247000,Pfizer,16,2
1668801601000,Pfizer,18,4
1668783602000,Pfizer,27,6
1668708001000,Pfizer,17,4
1668614401000,Pfizer,18,2
1668609312000,Pfizer,68,14
1668528375000,Pfizer,17,5
1668434404000,Pfizer,22,6
1668356586000,Pfizer,29,9
1668267433000,Pfizer,187,116
1668189654000,Pfizer,10,3
1668189653000,Pfizer,12,4
1668189652000,Pfizer,6,2
1668189652000,Pfizer,26,5
1668178981000,Pfizer,35,2
1668103225000,Pfizer,16,3
1668096002000,Pfizer,20,6
1668092425000,Pfizer,22,7
1668020401000,Pfizer,16,2
1668016800000,Pfizer,22,5
1668013202000,Pfizer,17,3
1668009617000,Pfizer,18,4
1667933012000,Pfizer,37,7
1667833224000,Pfizer,27,13
1667560111000,Pfizer,20,11
1667560111000,Pfizer,58,22
1667502001000,Pfizer,19,4
1667473748000,Pfizer,168,74
1667324700000,Pfizer,25,5
1667321100000,Pfizer,9,4
1667317500000,Pfizer,24,9
1667058901000,Pfizer,28,11
1666969261000,Pfizer,29,7
1666890004000,Pfizer,14,2
1666886401000,Pfizer,7,2
1666879201000,Pfizer,10,3
1666818000000,Pfizer,18,6
1666816321000,Pfizer,17,7
1666800022000,Pfizer,10,2
1666796401000,Pfizer,10,3
1666792188000,Pfizer,14,4
1666627208000,Pfizer,8,5
1666623602000,Pfizer,12,3
1666620027000,Pfizer,10,4
1666371843000,Pfizer,19,6
1666364403000,Pfizer,21,8
1666188032000,Pfizer,25,2
1666101601000,Pfizer,32,5
1666034872000,Pfizer,18,3
1666018808000,Pfizer,23,11
1666015203000,Pfizer,14,2
1666011602000,Pfizer,31,9
1665768721000,Pfizer,20,6
1665759604000,Pfizer,26,6
1665756001000,Pfizer,10,1
1665684007000,Pfizer,18,1
1665675000000,Pfizer,10,2
1665669601000,Pfizer,14,1
1665667818000,Pfizer,9,2
1665598809000,Pfizer,53,15
1665594279000,Pfizer,17,14
1665594191000,Pfizer,48,23
1665586804000,Pfizer,24,1
1665518405000,Pfizer,22,1
1665500401000,Pfizer,12,4
1665432606000,Pfizer,25,9
1665421200000,Pfizer,15,0
1665408527000,Pfizer,40,13
1665176408000,Pfizer,31,11
1665151200000,Pfizer,20,1
1665085201000,Pfizer,22,3
1665079409000,Pfizer,40,13
1665061214000,Pfizer,31,8
1664996567000,Pfizer,1,0
1664978468000,Pfizer,18,3
1664928031000,Pfizer,17,2
1664928000000,Pfizer,17,4
1664924449000,Pfizer,14,3
1664924402000,Pfizer,334,209
1664917200000,Pfizer,11,4
1664906413000,Pfizer,16,7
1664897616000,Pfizer,15,3
1664888405000,Pfizer,21,5
1664818257000,Pfizer,29,7
1664802005000,Pfizer,21,6
1664551700000,Pfizer,26,12
1664488801000,Pfizer,11,4
1664484900000,Pfizer,17,4
1664456404000,Pfizer,15,3
1664283600000,Pfizer,16,6
1664221400000,Pfizer,20,3
1664207143000,Pfizer,54,19
1663949576000,Pfizer,14,6
1663942074000,Pfizer,122,47
1663939822000,Pfizer,38,15
1663858207000,Pfizer,17,5
1663696823000,Pfizer,13,2
1663689737000,Pfizer,38,14
1663678802000,Pfizer,72,24
1663614195000,Pfizer,7,2
1663611001000,Pfizer,55,20
1663600417000,Pfizer,73,13
1663341822000,Pfizer,365,141
1663246814000,Pfizer,27,8
1663183227000,Pfizer,26,8
1663153020000,Pfizer,56,36
1663001310000,Pfizer,13,4
1663001310000,Pfizer,17,3
1663001309000,Pfizer,57,17
1662998461000,Pfizer,497,130
1662994801000,Pfizer,17,4
1662910747000,Pfizer,22,9
1662738487000,Pfizer,18,2
1662649211000,Pfizer,27,6
1662581113000,Pfizer,12,10
1662572419000,Pfizer,15,3
1662565400000,Pfizer,357,128
1662476402000,Pfizer,20,5
1662472821000,Pfizer,11,2
1662469224000,Pfizer,917,251
1662128521000,Pfizer,41,7
1662066609000,Pfizer,1404,238
1662041039000,Pfizer,18,1
1662041039000,Pfizer,18,2
1662041038000,Pfizer,48,13
1661956664000,Pfizer,19,3
1661956663000,Pfizer,23,2
1661956663000,Pfizer,105,46
1661526306000,Pfizer,33,8
1661432418000,Pfizer,41,7
1661274920000,Pfizer,1164,341
1661252185000,Pfizer,29,10
1661252185000,Pfizer,106,47
1661181025000,Pfizer,251,90
1661179867000,Pfizer,16,8
1661179817000,Pfizer,106,37
1660831203000,Pfizer,18,1
1660658470000,Pfizer,26,8
1660582023000,Pfizer,180,52
1660327202000,Pfizer,18,4
1660222802000,Pfizer,24,6
1660158444000,Pfizer,13,1
1659801961000,Pfizer,210,46
1659636186000,Pfizer,39,9
1659625510000,Pfizer,42,18
1659618001000,Pfizer,19,5
1659543444000,Pfizer,1968,652
1659448802000,Pfizer,249,66
1659022231000,Pfizer,22,13
1659016805000,Pfizer,24,10
1658953954000,Pfizer,17,6
1658926802000,Pfizer,17,4
1658871211000,Pfizer,575,182
1658589062000,Pfizer,47,16
1658511116000,Pfizer,20,5
1658417401000,Pfizer,27,7
1658254012000,Pfizer,739,214
1658248129000,Pfizer,26,2
1658242810000,Pfizer,35,7
1657898136000,Pfizer,26,12
1657898136000,Pfizer,35,15
1657818014000,Pfizer,22,2
1657807885000,Pfizer,32,4
1657720807000,Pfizer,44,14
1657720803000,Pfizer,20,3
1657220826000,Pfizer,495,241
1657123200000,Pfizer,33,6
1657116014000,Pfizer,22,9
1656621378000,Pfizer,1785,572
1656612002000,Pfizer,1330,397
1656609900000,Pfizer,27,7
1656601201000,Pfizer,564,166
1656599384000,Pfizer,34,8
1656587667000,Pfizer,23,7
1656587666000,Pfizer,44,17
1656523007000,Pfizer,20,4
1656511203000,Pfizer,20,4
1656348711000,Pfizer,16,1
1656167513000,Pfizer,25,12
1656167480000,Pfizer,94,35
1656079203000,Pfizer,30,10
1656000067000,Pfizer,19,2
1655997677000,Pfizer,37,11
1655914812000,Pfizer,30,7
1655911208000,Pfizer,21,3
1655902814000,Pfizer,28,10
1655841999000,Pfizer,20,2
1655826846000,Pfizer,21,5
1655701446000,Pfizer,70,13
1655473927000,Pfizer,33,11
1655473890000,Pfizer,88,50
1655384400000,Pfizer,20,3
1655319655000,Pfizer,18,1
1655312401000,Pfizer,16,2
1655301626000,Pfizer,18,0
1655139602000,Pfizer,34,3
1655136013000,Pfizer,18,3
1655128813000,Pfizer,26,1
1654790401000,Pfizer,30,2
1654628401000,Pfizer,58,13
1654545764000,Pfizer,30,6
1654545602000,Pfizer,77,15
1654524029000,Pfizer,25,7
1654275625000,Pfizer,31,6
1654268461000,Pfizer,51,5
1654181598000,Pfizer,48,12
1654099225000,Pfizer,72,10
1654092025000,Pfizer,24,6
1654020924000,Pfizer,38,9
1654006501000,Pfizer,51,12
1653667222000,Pfizer,42,8
1653663601000,Pfizer,34,7
1653464274000,Pfizer,12104,892
1653414858000,Pfizer,28,11
1653323433000,Pfizer,84,24
1653303445000,Pfizer,57,45
1653303445000,Pfizer,47,11
1653303444000,Pfizer,162,76
1653069602000,Pfizer,19,5
1652972401000,Pfizer,25,5
1652893201000,Pfizer,29,5
1652888547000,Pfizer,25,2
1652882427000,Pfizer,23,2
1652819366000,Pfizer,22,11
1652802567000,Pfizer,16,5
1652802554000,Pfizer,43,10
1652802538000,Pfizer,68,29
1652799601000,Pfizer,20,1
1652461200000,Pfizer,24,5
1652374802000,Pfizer,50,18
1652364823000,Pfizer,639,211
1652292013000,Pfizer,22,7
1652284800000,Pfizer,26,7
1652281862000,Pfizer,113,19
1652274002000,Pfizer,95,28
1652194816000,Pfizer,15,4
1652191201000,Pfizer,146,34
1652123166000,Pfizer,199,41
1651845619000,Pfizer,29,7
1651759204000,Pfizer,42,9
1651700322000,Pfizer,63,21
1651669216000,Pfizer,34,10
1651588202000,Pfizer,43,7
1651582803000,Pfizer,38,11
1651507202000,Pfizer,17,3
1651503600000,Pfizer,31,5
1651248949000,Pfizer,37,9
1651246381000,Pfizer,128,22
1651161966000,Pfizer,30,6
1651072265000,Pfizer,52,6
1650992402000,Pfizer,63,21
1650981612000,Pfizer,38,10
1650978015000,Pfizer,283,65
1650898816000,Pfizer,36,2
1650643216000,Pfizer,44,15
1650632403000,Pfizer,28,5
1650373216000,Pfizer,457,101
1649950445000,Pfizer,18,7
1649942748000,Pfizer,23,11
